#TYPE System.Management.Automation.PSCustomObject
"UserPrincipalName","FirstName","LastName"
"testuser1@demo.psug.dk","testuser1","lastname"
"testuser2@demo.psug.dk","testuser2","lastname"
"testuser3@demo.psug.dk","testuser3","lastname"
"testuser4@demo.psug.dk","testuser4","lastname"
"testuser5@demo.psug.dk","testuser5","lastname"
"testuser6@demo.psug.dk","testuser6","lastname"
"testuser7@demo.psug.dk","testuser7","lastname"
"testuser8@demo.psug.dk","testuser8","lastname"
"testuser9@demo.psug.dk","testuser9","lastname"
"testuser10@demo.psug.dk","testuser10","lastname"
"testuser11@demo.psug.dk","testuser11","lastname"
"testuser12@demo.psug.dk","testuser12","lastname"
"testuser13@demo.psug.dk","testuser13","lastname"
"testuser14@demo.psug.dk","testuser14","lastname"
"testuser15@demo.psug.dk","testuser15","lastname"
"testuser16@demo.psug.dk","testuser16","lastname"
"testuser17@demo.psug.dk","testuser17","lastname"
"testuser18@demo.psug.dk","testuser18","lastname"
"testuser19@demo.psug.dk","testuser19","lastname"
"testuser20@demo.psug.dk","testuser20","lastname"
